OREGgene_symbol	OREGstrand	OREGtype	OREGexperimental_outcome	OREGdatabase_ID	OREGNCBI
SLC6A4	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1393248	18971253
CCL2,CCL2,CCL2	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1219885,OREG1778106,OREG1682062	18971253,18971253,18971253
CCL5	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1672912	18971253
-	-	-	-	-	-
-	-	-	-	-	-
ORMDL3,ORMDL3,ORMDL3	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1751808,OREG1728269,OREG1406815	18971253,18971253,18971253
-	-	-	-	-	-
BRCA1,NBR2	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1791488,OREG1194240	18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
RNU7-155P,RNU7-155P	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1714449,OREG1738902	18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
SLC39A11,SLC39A11,SLC39A11	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1262646,OREG1587720,OREG1646156	18971253,18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
SMAD7	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1240526	18971253
-	-	-	-	-	-
-	-	-	-	-	-
CALR,CALR,CALR,CALR,CALR,CALR,CALR,CALR,CALR,CALR	1,1,1,1,1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A	OREG1261373,OREG1230908,OREG1501004,OREG1794792,OREG1818070,OREG1783248,OREG1802549,OREG1179925,OREG1855847,OREG1619049	18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253
CALR,CALR,CALR,CALR,CALR,CALR,CALR,CALR,CALR,CALR	1,1,1,1,1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A	OREG1261373,OREG1230908,OREG1501004,OREG1794792,OREG1818070,OREG1783248,OREG1802549,OREG1179925,OREG1855847,OREG1619049	18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253
SUGP1,SUGP1	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1816004,OREG1781419	18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
SLC7A9	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1943842	18971253
-	-	-	-	-	-
PIN1	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1491883	18971253
MERTK,MERTK	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1723978,OREG1747828	18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
GAD1	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1248333	18971253
-	-	-	-	-	-
CHRNA1,CHRNA1	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1600052,OREG1658346	18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
LBH	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1232587	18971253
BCL11A	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1249584	18971253
BCL11A	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1249584	18971253
-	-	-	-	-	-
CD207	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1239910	18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
RALY	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1771581	18971253
-	-	-	-	-	-
-	-	-	-	-	-
RALY,RALY,N/A	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,REGULATORY_REGION	N/A,N/A,POSITIVE_OUTCOME	OREG1386452,OREG1245878,OREG0025875	18971253,18971253,N/A
TOX2	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1894201	18971253
HNF4A	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1719378	18971253
CD40	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1489965	18971253
CD40	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1489965	18971253
CD40	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1489965	18971253
CD40	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1489965	18971253
CD40	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1489965	18971253
CD40	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1489965	18971253
ZFAS1,ZFAS1,ZFAS1,ZFAS1	1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A	OREG1270787,OREG1597033,OREG1655364,OREG1690056	18971253,18971253,18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
N/A	-1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1136885	24194598
-	-	-	-	-	-
EEF1A2	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1501759	18971253
EEF1A2	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1501759	18971253
EEF1A2	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1501759	18971253
EEF1A2	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1501759	18971253
EEF1A2	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1501759	18971253
EEF1A2	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1501759	18971253
EEF1A2	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1501759	18971253
EEF1A2	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1501759	18971253
EEF1A2	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1501759	18971253
ZNF512B	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1494527	18971253
-	-	-	-	-	-
-	-	-	-	-	-
MX2,MX2,MX2,MX2,MX2,MX2,MX2	1,1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A,N/A	OREG1196584,OREG1663438,OREG1605212,OREG1520620,OREG1540555,OREG1685309,OREG1531030	18971253,18971253,18971253,18971253,18971253,18971253,18971253
MX2,MX2,MX2,N/A	1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,REGULATORY_REGION	N/A,N/A,N/A,POSITIVE_OUTCOME	OREG1196584,OREG1663438,OREG1605212,OREG0026238	18971253,18971253,18971253,N/A
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
TBX1,TBX1	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1946617,OREG1508368	18971253,18971253
XBP1,XBP1,XBP1,XBP1,XBP1,XBP1,XBP1,XBP1,XBP1	1,1,1,1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A	OREG1265558,OREG1820111,OREG1621387,OREG1791432,OREG1550271,OREG1804658,OREG1785093,OREG1720556,OREG1744618	18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
CBX7	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1261588	18971253
CBX7	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1261588	18971253
ADSL,ADSL,ADSL,ADSL,ADSL,ADSL,ADSL,N/A,N/A	1,1,1,1,1,1,1,1,-1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A	OREG1255317,OREG1883777,OREG1173535,OREG1814988,OREG1799403,OREG1712292,OREG1545282,OREG0155025,OREG0632669	18971253,18971253,18971253,18971253,18971253,18971253,18971253,24194598,24194598
UPK3A,UPK3A,UPK3A,UPK3A,N/A	1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A	OREG1633760,OREG1575033,OREG1169932,OREG1702319,OREG0115506	18971253,18971253,18971253,18971253,24194598
GAP43,GAP43,GAP43,GAP43	1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A	OREG1795383,OREG1811023,OREG1776986,OREG1790723	18971253,18971253,18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
MYLK,MYLK	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1748040,OREG1724194	18971253,18971253
GATA2,GATA2,GATA2,GATA2,GATA2,GATA2	1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A	OREG1271707,OREG1240533,OREG1190366,OREG1903207,OREG1676160,OREG1930022	18971253,18971253,18971253,18971253,18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
IGF2BP2,IGF2BP2,IGF2BP2	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1660739,OREG1602449,OREG1627001	18971253,18971253,18971253
IGF2BP2,IGF2BP2	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1660739,OREG1602449	18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
EPM2AIP1,EPM2AIP1,EPM2AIP1,EPM2AIP1,EPM2AIP1,EPM2AIP1,EPM2AIP1,EPM2AIP1,EPM2AIP1,EPM2AIP1,MLH1,MLH1,MLH1	1,1,1,1,1,1,1,1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A	OREG1247603,OREG1610944,OREG1811151,OREG1790806,OREG1217723,OREG1860733,OREG1844466,OREG1279333,OREG1839860,OREG1795513,OREG1555221,OREG1789809,OREG1855741	18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253
EPM2AIP1,EPM2AIP1,EPM2AIP1,EPM2AIP1,EPM2AIP1,EPM2AIP1,EPM2AIP1,EPM2AIP1,EPM2AIP1,EPM2AIP1,MLH1,MLH1,MLH1,N/A	1,1,1,1,1,1,1,1,1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A	OREG1247603,OREG1610944,OREG1811151,OREG1790806,OREG1217723,OREG1860733,OREG1844466,OREG1279333,OREG1839860,OREG1795513,OREG1555221,OREG1789809,OREG1855741,OREG0698888	18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,18971253,24194598
CCR2,CCR2	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1220151,OREG1341057	18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
ADH4,ADH4,ADH4,ADH4,ADH4	1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A	OREG1640917,OREG1582363,OREG1738908,OREG1714454,OREG1289246	18971253,18971253,18971253,18971253,18971253
ADH4,ADH4,ADH4,ADH4,ADH4	1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A	OREG1640917,OREG1582363,OREG1738908,OREG1714454,OREG1289246	18971253,18971253,18971253,18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
PRIMPOL,PRIMPOL	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1256214,OREG1174591	18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
AFP	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1165236	18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
SNCA,SNCA	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1898074,OREG1593207	18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
IL4	1	REGULATORY_REGION	POSITIVE_OUTCOME	OREG0003465	12566409
CLPTM1L	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1929089	18971253
CLPTM1L	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1929089	18971253
CLPTM1L	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1929089	18971253
CLPTM1L	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1929089	18971253
CLPTM1L	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1929089	18971253
CLPTM1L	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1929089	18971253
CLPTM1L	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1929089	18971253
CLPTM1L	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1929089	18971253
CLPTM1L	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1929089	18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
ITK	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1549670	18971253
-	-	-	-	-	-
-	-	-	-	-	-
N/A,N/A,SLC34A1,SLC34A1,SLC34A1,SLC34A1	N/A,1,1,1,1,1	REGULATORY_REGION,REGULATORY_REGION,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,POSITIVE_OUTCOME,N/A,N/A,N/A,N/A	OREG0070936,OREG0017087,OREG1404732,OREG1358786,OREG1241136,OREG1553259	17130149,N/A,18971253,18971253,18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
MRPS30	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1572369	18971253
MRPS30	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1572369	18971253
-	-	-	-	-	-
ELL2	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1259110	18971253
LNPEP	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1257110	18971253
RFX6,RFX6	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1580857,OREG1639461	18971253,18971253
RFX6,RFX6	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1580857,OREG1639461	18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
TNFAIP3	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1228238	18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
CCDC170,CCDC170,CCDC170	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1572482,OREG1631188,OREG1167575	18971253,18971253,18971253
CCDC170,CCDC170,CCDC170	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1572482,OREG1631188,OREG1167575	18971253,18971253,18971253
-	-	-	-	-	-
ESR1,ESR1,ESR1	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1571873,OREG1630623,OREG1167039	18971253,18971253,18971253
ESR1,ESR1	1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A	OREG1571895,OREG1704205	18971253,18971253
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
-	-	-	-	-	-
ZSCAN26	1	TRANSCRIPTION_FACTOR_BINDING_SITE	N/A	OREG1257488	18971253
ZSCAN26,NKAPL,NKAPL,ZSCAN26,ZSCAN26	1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A	OREG1257488,OREG1824887,OREG1789453,OREG1714166,OREG1738643	18971253,18971253,18971253,18971253,18971253
HCG15,HCG15,HCG15	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1259355,OREG1888497,OREG1228933	18971253,18971253,18971253
HCG15,HCG15,HCG15	1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A	OREG1259355,OREG1888497,OREG1228933	18971253,18971253,18971253
HCG15,HCG15,HCG15,HCG15	1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A	OREG1259355,OREG1888497,OREG1228933,OREG1617813	18971253,18971253,18971253,18971253
HCG15,HCG15,HCG15,HCG15	1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A	OREG1259355,OREG1888497,OREG1228933,OREG1617813	18971253,18971253,18971253,18971253
HCG15,HCG15,HCG15,HCG15	1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A	OREG1259355,OREG1888497,OREG1228933,OREG1617813	18971253,18971253,18971253,18971253
HCG15,HCG15,HCG15,HCG15,N/A	1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A	OREG1259355,OREG1888497,OREG1228933,OREG1617813,OREG0390865	18971253,18971253,18971253,18971253,24194598
HCG15,HCG15,HCG15,HCG15	1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A	OREG1259355,OREG1888497,OREG1228933,OREG1617813	18971253,18971253,18971253,18971253
HCG15,HCG15,HCG15,HCG15,HCG15,HCG15	1,1,1,1,1,1	TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE,TRANSCRIPTION_FACTOR_BINDING_SITE	N/A,N/A,N/A,N/A,N/A,N/A	OREG1259355,OREG1888497,OREG1228933,OREG1617813,OREG1608626,OREG1547229	18971253,18971253,18971253,18971253,18971253,18971253
